country,year,item,r,n,survey,cc_rank
United States,2015,policy_carbon4,1,257.114354870048,ypccc_combo,938
United States,2015,policy_carbon4,2,385.183558421411,ypccc_combo,938
United States,2015,policy_carbon4,3,1157.85503857458,ypccc_combo,938
United States,2015,policy_carbon4,4,757.240011838538,ypccc_combo,938
United States,2015,policy_mandate4,1,186.097215260316,ypccc_combo,938
United States,2015,policy_mandate4,2,237.704903179054,ypccc_combo,938
United States,2015,policy_mandate4,3,541.399128313886,ypccc_combo,938
United States,2015,policy_mandate4,4,317.333372669445,ypccc_combo,938
United States,2015,policy_phaseout4,1,341.300262020392,ypccc_combo,938
United States,2015,policy_phaseout4,2,458.719099879014,ypccc_combo,938
United States,2015,policy_phaseout4,3,1178.7713265063,ypccc_combo,938
United States,2015,policy_phaseout4,4,585.762311346195,ypccc_combo,938
United States,2015,policy_research4,1,185.884334150542,ypccc_combo,938
United States,2015,policy_research4,2,284.263302757819,ypccc_combo,938
United States,2015,policy_research4,3,1097.20179550201,ypccc_combo,938
United States,2015,policy_research4,4,994.471469183041,ypccc_combo,938
United States,2015,science4,1,42.4216116512685,ypccc_combo,938
United States,2015,science4,2,411.132422381172,ypccc_combo,938
United States,2015,science4,3,327.623478016633,ypccc_combo,938
United States,2015,science4,4,515.321766410965,ypccc_combo,938
United States,2015,when6,1,483.212444112936,ypccc_combo,938
United States,2015,when6,2,306.917248247255,ypccc_combo,938
United States,2015,when6,3,289.963105702561,ypccc_combo,938
United States,2015,when6,4,353.085377793303,ypccc_combo,938
United States,2015,when6,5,304.56250688321,ypccc_combo,938
United States,2015,when6,6,851.919942327238,ypccc_combo,938
United States,2016,belief3,1,288.16992922655,ypccc_combo,938
United States,2016,belief3,2,433.909180908002,ypccc_combo,938
United States,2016,belief3,3,1707.92088986545,ypccc_combo,938
United States,2016,cause4,1,179.516613981332,ypccc_combo,938
United States,2016,cause4,2,775.982268317917,ypccc_combo,938
United States,2016,cause4,3,121.698331293952,ypccc_combo,938
United States,2016,cause4,4,1318.00847653495,ypccc_combo,938
United States,2016,concern4,1,399.282881627097,ypccc_combo,938
United States,2016,concern4,2,591.326819825516,ypccc_combo,938
United States,2016,concern4,3,1016.17438034462,ypccc_combo,938
United States,2016,concern4,4,423.215918202772,ypccc_combo,938
United States,2016,discuss4,1,767.270260357443,ypccc_combo,938
United States,2016,discuss4,2,879.218063801397,ypccc_combo,938
United States,2016,discuss4,3,652.466013965008,ypccc_combo,938
United States,2016,discuss4,4,131.045661876152,ypccc_combo,938
United States,2016,harm4,1,592.148845940855,ypccc_combo,938
United States,2016,harm4,2,599.6218325056,ypccc_combo,938
United States,2016,harm4,3,676.944604427727,ypccc_combo,938
United States,2016,harm4,4,317.193602585742,ypccc_combo,938
United States,2016,harm_dev4,1,308.637471044815,ypccc_combo,938
United States,2016,harm_dev4,2,295.340586446938,ypccc_combo,938
United States,2016,harm_dev4,3,631.120325673877,ypccc_combo,938
United States,2016,harm_dev4,4,919.855467531262,ypccc_combo,938
United States,2016,harm_future4,1,243.313090908508,ypccc_combo,938
United States,2016,harm_future4,2,210.473365758672,ypccc_combo,938
United States,2016,harm_future4,3,487.614707781182,ypccc_combo,938
United States,2016,harm_future4,4,1227.73679757577,ypccc_combo,938
United States,2016,harm_nature4,1,263.921633349195,ypccc_combo,938
United States,2016,harm_nature4,2,224.858934226638,ypccc_combo,938
United States,2016,harm_nature4,3,516.086727983902,ypccc_combo,938
United States,2016,harm_nature4,4,1192.8119210301,ypccc_combo,938
United States,2016,harm_us4,1,364.101610726206,ypccc_combo,938
United States,2016,harm_us4,2,402.386367870031,ypccc_combo,938
United States,2016,harm_us4,3,811.223588625282,ypccc_combo,938
United States,2016,harm_us4,4,632.038367295229,ypccc_combo,938
